Menu Item Full Name,Menu Item Group,Menu Item Category,Default Price,Dine In Price,Bar Price,Pick Up Price,Take Out Price,Delivery Price,Open Price Item,POS Orders Print At,Tax 1,Tax 2,Tax 3,This Is A Bar Item,This Is A Weighted Item,Tare,Barcode,Item Folder,Belongs To Item Folder
Hot Coffee - 12oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Hot Coffee - 16oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Hot Coffee - 20oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Cold Coffee - 12oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Cold Coffee - 16oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Cold Coffee - 20oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Menu Item Full Name,Menu Item Group,Menu Item Category,Default Price,Dine In Price,Bar Price,Pick Up Price,Take Out Price,Delivery Price,Open Price Item,POS Orders Print At,Tax 1,Tax 2,Tax 3,This Is A Bar Item,This Is A Weighted Item,Tare,Barcode,Item Folder,Belongs To Item Folder
Hot Coffee - 12oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Hot Coffee - 16oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Hot Coffee - 20oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Cold Coffee - 12oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Cold Coffee - 16oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Cold Coffee - 20oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Menu Item Full Name,Menu Item Group,Menu Item Category,Default Price,Dine In Price,Bar Price,Pick Up Price,Take Out Price,Delivery Price,Open Price Item,POS Orders Print At,Tax 1,Tax 2,Tax 3,This Is A Bar Item,This Is A Weighted Item,Tare,Barcode,Item Folder,Belongs To Item Folder
Hot Coffee - 12oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Hot Coffee - 16oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Hot Coffee - 20oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Cold Coffee - 12oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Cold Coffee - 16oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Cold Coffee - 20oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Menu Item Full Name,Menu Item Group,Menu Item Category,Default Price,Dine In Price,Bar Price,Pick Up Price,Take Out Price,Delivery Price,Open Price Item,POS Orders Print At,Tax 1,Tax 2,Tax 3,This Is A Bar Item,This Is A Weighted Item,Tare,Barcode,Item Folder,Belongs To Item Folder
Hot Coffee - 12oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Hot Coffee - 16oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Hot Coffee - 20oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Cold Coffee - 12oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Cold Coffee - 16oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Cold Coffee - 20oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Menu Item Full Name,Menu Item Group,Menu Item Category,Default Price,Dine In Price,Bar Price,Pick Up Price,Take Out Price,Delivery Price,Open Price Item,POS Orders Print At,Tax 1,Tax 2,Tax 3,This Is A Bar Item,This Is A Weighted Item,Tare,Barcode,Item Folder,Belongs To Item Folder
Hot Coffee - 12oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Hot Coffee - 16oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Hot Coffee - 20oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Cold Coffee - 12oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Cold Coffee - 16oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Cold Coffee - 20oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Menu Item Full Name,Menu Item Group,Menu Item Category,Default Price,Dine In Price,Bar Price,Pick Up Price,Take Out Price,Delivery Price,Open Price Item,POS Orders Print At,Tax 1,Tax 2,Tax 3,This Is A Bar Item,This Is A Weighted Item,Tare,Barcode,Item Folder,Belongs To Item Folder
Hot Coffee - 12oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Hot Coffee - 16oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Hot Coffee - 20oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Cold Coffee - 12oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Cold Coffee - 16oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Cold Coffee - 20oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Menu Item Full Name,Menu Item Group,Menu Item Category,Default Price,Dine In Price,Bar Price,Pick Up Price,Take Out Price,Delivery Price,Open Price Item,POS Orders Print At,Tax 1,Tax 2,Tax 3,This Is A Bar Item,This Is A Weighted Item,Tare,Barcode,Item Folder,Belongs To Item Folder
Hot Coffee - 12oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Hot Coffee - 16oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Hot Coffee - 20oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Hot Coffee
Cold Coffee - 12oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Cold Coffee - 16oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
Cold Coffee - 20oz,Coffee,Drinks,1,,,,,,,N,,,,,,,,1,Cold Coffee
